s/n,Age,Gender,Country,self_employed,family_history,treatment,no_employees,wellness_program,leave,care_options,obs_consequence,Continents,YearMonth
568,31-40,Male,United States,No,Yes,No,More than 1000,Don't know,Somewhat easy,Not sure,No,North America,2014-08
569,31-40,Others,United States,No,Yes,Yes,100-500,No,Don't know,No,No,North America,2014-08
570,21-30,Male,United States,No,Yes,Yes,Less than 26,No,Don't know,Yes,No,North America,2014-08
571,41-50,Others,United States,No,No,Yes,More than 1000,Yes,Somewhat easy,Yes,No,North America,2014-08
572,21-30,Female,United States,No,No,No,500-1000,Don't know,Don't know,Not sure,No,North America,2014-08
573,21-30,Female,United States,No,Yes,Yes,26-100,No,Somewhat difficult,Yes,Yes,North America,2014-08
574,41-50,Male,United States,No,No,No,26-100,No,Don't know,Yes,No,North America,2014-08
575,31-40,Male,United States,No,Yes,No,26-100,No,Somewhat easy,No,No,North America,2014-08
576,21-30,Male,United States,No,No,No,26-100,Don't know,Don't know,No,No,North America,2014-08
577,31-40,Male,United States,No,Yes,No,Less than 26,No,Very easy,Not sure,No,North America,2014-08
578,21-30,Male,Canada,Yes,No,No,26-100,No,Very difficult,Yes,No,North America,2014-08
579,31-40,Male,United States,No,Yes,Yes,26-100,No,Don't know,No,No,North America,2014-08
580,41-50,Male,United States,No,Yes,Yes,More than 1000,No,Don't know,No,Yes,North America,2014-08
581,41-50,Male,United States,No,Yes,No,100-500,No,Don't know,No,No,North America,2014-08
582,21-30,Male,Canada,No,No,Yes,More than 1000,Yes,Somewhat difficult,Not sure,Yes,North America,2014-08
583,31-40,Male,United States,No,No,No,Less than 26,No,Very easy,Yes,No,North America,2014-08
584,21-30,Male,Singapore,No,No,No,Less than 26,No,Don't know,No,No,Asia,2014-08
585,31-40,Female,United States,No,No,No,26-100,No,Somewhat easy,Not sure,No,North America,2014-08
586,21-30,Male,Australia,No,No,Yes,100-500,No,Don't know,No,Yes,Oceania,2014-08
587,21-30,Female,United States,No,No,No,26-100,Yes,Don't know,Yes,Yes,North America,2014-08
588,31-40,Male,United States,No,Yes,Yes,Less than 26,No,Somewhat easy,No,No,North America,2014-08
589,41-50,Male,United States,No,No,Yes,Less than 26,No,Somewhat easy,Yes,No,North America,2014-08
590,31-40,Male,United States,No,Yes,Yes,26-100,No,Don't know,Yes,Yes,North America,2014-08
591,21-30,Male,United States,No,Yes,Yes,26-100,No,Somewhat difficult,No,No,North America,2014-08
592,20 down,Male,Canada,No,Yes,Yes,Less than 26,No,Don't know,No,No,North America,2014-08
593,41-50,Male,United States,No,Yes,Yes,More than 1000,Yes,Don't know,Not sure,No,North America,2014-08
594,21-30,Male,United States,No,Yes,No,100-500,Yes,Don't know,Yes,No,North America,2014-08
595,21-30,Male,United States,No,No,No,100-500,Don't know,Don't know,Not sure,No,North America,2014-08
596,21-30,Female,United States,No,Yes,Yes,100-500,No,Somewhat difficult,Not sure,Yes,North America,2014-08
597,31-40,Male,United States,No,No,No,26-100,No,Don't know,No,No,North America,2014-08
598,41-50,Male,United States,No,No,No,500-1000,Don't know,Don't know,Not sure,No,North America,2014-08
599,31-40,Male,United States,No,Yes,Yes,100-500,No,Somewhat difficult,No,Yes,North America,2014-08
600,21-30,Male,United States,No,Yes,No,100-500,Yes,Don't know,Yes,No,North America,2014-08
601,31-40,Male,United States,Yes,Yes,No,Less than 26,Yes,Very easy,No,No,North America,2014-08
602,31-40,Male,United States,No,Yes,Yes,100-500,No,Somewhat difficult,Not sure,No,North America,2014-08
603,21-30,Female,United States,Yes,Yes,Yes,Less than 26,No,Somewhat difficult,Yes,No,North America,2014-08
604,21-30,Male,United States,No,No,No,More than 1000,Don't know,Don't know,Not sure,No,North America,2014-08
605,31-40,Male,United States,No,No,No,100-500,No,Don't know,Yes,No,North America,2014-08
606,41-50,Male,United States,No,No,No,Less than 26,No,Don't know,No,No,North America,2014-08
607,21-30,Male,United States,No,No,No,26-100,No,Don't know,Not sure,No,North America,2014-08
608,21-30,Male,United States,No,No,No,26-100,No,Don't know,No,No,North America,2014-08
609,21-30,Male,Australia,No,No,No,Less than 26,No,Don't know,No,No,Oceania,2014-08
610,31-40,Male,United States,No,No,Yes,Less than 26,No,Somewhat easy,Yes,No,North America,2014-08
611,41-50,Male,United States,Yes,No,No,Less than 26,No,Very easy,Yes,No,North America,2014-08
612,31-40,Male,United States,No,No,No,More than 1000,No,Don't know,No,No,North America,2014-08
613,21-30,Male,Singapore,No,No,No,26-100,No,Somewhat easy,Not sure,Yes,Asia,2014-08
614,21-30,Male,United States,No,No,No,More than 1000,No,Very easy,No,No,North America,2014-08
615,21-30,Male,United States,Yes,No,Yes,Less than 26,No,Somewhat difficult,Not sure,No,North America,2014-08
616,31-40,Male,United States,No,No,No,26-100,Yes,Don't know,No,No,North America,2014-08
617,31-40,Male,United States,No,Yes,Yes,100-500,No,Very difficult,Yes,No,North America,2014-08
618,31-40,Male,Netherlands,No,Yes,No,26-100,No,Don't know,Not sure,No,Europe,2014-08
619,21-30,Male,United Kingdom,No,Yes,Yes,100-500,No,Very easy,Yes,No,Europe,2014-08
620,21-30,Male,Germany,No,Yes,No,100-500,No,Somewhat easy,No,No,Europe,2014-08
621,21-30,Male,Netherlands,Yes,No,No,Less than 26,No,Don't know,Not sure,Yes,Europe,2014-08
622,31-40,Female,United States,No,No,Yes,26-100,No,Very easy,Yes,No,North America,2014-08
623,21-30,Female,United States,No,Yes,Yes,More than 1000,Yes,Somewhat easy,Yes,No,North America,2014-08
624,31-40,Female,United States,No,Yes,Yes,100-500,No,Don't know,No,No,North America,2014-08
625,21-30,Female,United States,No,Yes,Yes,500-1000,Yes,Somewhat difficult,Yes,No,North America,2014-08
626,31-40,Male,Canada,No,Yes,Yes,100-500,No,Somewhat difficult,Yes,No,North America,2014-08
627,31-40,Male,United States,Yes,Yes,Yes,Less than 26,No,Somewhat easy,Yes,No,North America,2014-08
628,31-40,Male,Canada,No,No,No,26-100,No,Very difficult,Yes,Yes,North America,2014-08
629,21-30,Male,United States,No,Yes,Yes,26-100,No,Don't know,Not sure,Yes,North America,2014-08
630,21-30,Female,United Kingdom,No,No,Yes,100-500,No,Don't know,No,No,Europe,2014-08
631,51 up,Male,United States,No,Yes,Yes,Less than 26,No,Don't know,Yes,No,North America,2014-08
632,31-40,Male,Germany,No,No,No,Less than 26,No,Very easy,No,No,Europe,2014-08
633,31-40,Female,United States,No,No,Yes,100-500,No,Somewhat easy,Yes,No,North America,2014-08
634,31-40,Male,Germany,No,No,Yes,100-500,Yes,Very easy,No,No,Europe,2014-08
635,21-30,Male,Germany,No,No,No,26-100,No,Somewhat easy,No,No,Europe,2014-08
636,31-40,Male,Poland,Yes,Yes,Yes,Less than 26,No,Somewhat easy,No,Yes,Europe,2014-08
637,21-30,Male,United Kingdom,No,No,Yes,26-100,No,Somewhat easy,No,No,Europe,2014-08
638,31-40,Male,United States,Yes,No,No,Less than 26,No,Very easy,Not sure,No,North America,2014-08
639,41-50,Male,Japan,Yes,Yes,Yes,Less than 26,Yes,Somewhat difficult,Yes,Yes,Asia,2014-08
640,31-40,Male,Germany,No,No,No,26-100,No,Very easy,Yes,No,Europe,2014-08
641,31-40,Male,Germany,No,No,No,26-100,No,Very easy,No,No,Europe,2014-08
642,21-30,Female,Australia,No,Yes,Yes,More than 1000,Yes,Somewhat difficult,Yes,Yes,Oceania,2014-08
643,51 up,Male,United States,No,No,No,26-100,No,Somewhat difficult,Yes,Yes,North America,2014-08
644,31-40,Female,Belgium,No,Yes,Yes,100-500,No,Don't know,No,Yes,Europe,2014-08
645,31-40,Male,Ireland,Yes,No,No,Less than 26,No,Don't know,No,No,Europe,2014-08
646,21-30,Male,Ireland,No,Yes,Yes,26-100,No,Don't know,No,No,Europe,2014-08
647,21-30,Male,Australia,No,No,No,26-100,No,Very easy,No,No,Oceania,2014-08
648,21-30,Female,Australia,No,Yes,No,100-500,Yes,Somewhat easy,Yes,No,Oceania,2014-08
649,21-30,Female,Netherlands,No,No,No,Less than 26,No,Don't know,No,No,Europe,2014-08
650,31-40,Male,United States,No,No,No,More than 1000,Yes,Don't know,No,No,North America,2014-08
651,21-30,Male,United Kingdom,No,Yes,Yes,100-500,Don't know,Don't know,Not sure,No,Europe,2014-08
652,51 up,Male,United Kingdom,Yes,Yes,Yes,Less than 26,No,Very easy,Not sure,Yes,Europe,2014-08
653,31-40,Female,Australia,No,Yes,No,500-1000,Yes,Don't know,No,Yes,Oceania,2014-08
654,31-40,Male,United States,No,No,Yes,500-1000,Yes,Very easy,Not sure,No,North America,2014-08
655,21-30,Male,Nigeria,No,No,No,Less than 26,No,Don't know,No,No,Africa,2014-08
656,21-30,Male,Poland,No,No,No,Less than 26,No,Somewhat difficult,No,No,Europe,2014-08
657,31-40,Male,Germany,Yes,No,No,Less than 26,No,Don't know,No,No,Europe,2014-08
658,21-30,Male,United Kingdom,No,Yes,Yes,More than 1000,No,Don't know,Yes,No,Europe,2014-08
659,31-40,Male,Germany,No,No,No,Less than 26,No,Somewhat easy,No,No,Europe,2014-08
660,20 down,Female,Switzerland,No,No,No,More than 1000,Yes,Somewhat easy,Yes,No,Europe,2014-08
661,21-30,Male,United Kingdom,No,No,No,Less than 26,No,Don't know,No,No,Europe,2014-08
662,31-40,Male,United States,No,No,No,More than 1000,Don't know,Don't know,Not sure,No,North America,2014-08
663,21-30,Male,Ireland,Yes,No,No,Less than 26,No,Somewhat difficult,No,No,Europe,2014-08
664,21-30,Male,Italy,No,No,No,More than 1000,No,Very easy,No,No,Europe,2014-08
665,21-30,Male,Ireland,No,No,Yes,26-100,Don't know,Very difficult,No,No,Europe,2014-08
666,21-30,Male,India,Yes,No,No,Less than 26,Don't know,Very easy,No,Yes,Asia,2014-08
667,21-30,Male,Ireland,No,No,No,More than 1000,Don't know,Don't know,Not sure,No,Europe,2014-08
668,21-30,Male,Netherlands,No,No,No,26-100,No,Don't know,No,No,Europe,2014-08
669,41-50,Male,France,No,No,No,100-500,No,Don't know,No,No,Europe,2014-08
670,21-30,Male,Russia,No,No,No,26-100,No,Somewhat difficult,Not sure,No,Europe,2014-08
671,21-30,Male,United States,No,Yes,No,Less than 26,No,Don't know,Not sure,No,North America,2014-08
672,21-30,Male,Canada,No,No,No,100-500,Don't know,Somewhat easy,Not sure,No,North America,2014-08
673,21-30,Female,Israel,No,Yes,No,100-500,Don't know,Don't know,No,No,Asia,2014-08
674,31-40,Male,Canada,No,Yes,No,26-100,No,Don't know,No,No,North America,2014-08
675,21-30,Male,United States,No,No,Yes,26-100,No,Don't know,Not sure,No,North America,2014-08
676,21-30,Male,India,No,No,No,26-100,No,Don't know,No,No,Asia,2014-08
677,21-30,Female,United States,No,Yes,Yes,Less than 26,No,Don't know,No,No,North America,2014-08
678,21-30,Male,Germany,Yes,No,No,Less than 26,No,Very easy,Yes,No,Europe,2014-08
679,41-50,Male,United States,No,No,Yes,Less than 26,No,Very easy,Not sure,No,North America,2014-08
680,31-40,Male,Bulgaria,No,No,Yes,26-100,No,Somewhat easy,No,Yes,Europe,2014-08
681,31-40,Male,United States,No,No,Yes,More than 1000,Yes,Don't know,Yes,No,North America,2014-08
682,20 down,Female,United States,No,Yes,Yes,26-100,No,Somewhat difficult,Not sure,No,North America,2014-08
683,21-30,Female,Canada,No,No,Yes,More than 1000,Yes,Somewhat easy,Yes,No,North America,2014-08
684,21-30,Female,United Kingdom,No,No,No,Less than 26,No,Don't know,No,No,Europe,2014-08
685,21-30,Female,India,No,Yes,Yes,More than 1000,No,Don't know,Not sure,No,Asia,2014-08
686,31-40,Female,United States,No,Yes,Yes,More than 1000,Yes,Somewhat easy,Yes,No,North America,2014-08
687,41-50,Male,United States,No,Yes,Yes,100-500,Yes,Somewhat easy,Not sure,No,North America,2014-08
688,21-30,Male,United States,No,No,No,26-100,No,Don't know,No,No,North America,2014-08
689,21-30,Female,United Kingdom,No,No,Yes,Less than 26,Yes,Very easy,Not sure,No,Europe,2014-08
690,21-30,Male,Canada,No,No,Yes,Less than 26,No,Somewhat easy,No,No,North America,2014-08
691,21-30,Male,Netherlands,No,No,No,Less than 26,No,Somewhat easy,No,No,Europe,2014-08
692,21-30,Male,Germany,No,No,No,26-100,No,Somewhat easy,No,No,Europe,2014-08
693,21-30,Female,Canada,No,No,No,More than 1000,Don't know,Somewhat easy,Not sure,No,North America,2014-08
694,31-40,Male,United Kingdom,No,No,No,Less than 26,No,Don't know,No,No,Europe,2014-08
695,31-40,Male,United Kingdom,No,No,Yes,26-100,No,Very easy,Yes,No,Europe,2014-08
696,31-40,Male,France,No,No,No,100-500,No,Somewhat easy,No,No,Europe,2014-08
697,31-40,Female,United States,No,No,No,More than 1000,No,Very difficult,Yes,No,North America,2014-08
698,31-40,Male,France,No,No,No,500-1000,No,Don't know,No,No,Europe,2014-08
699,21-30,Male,United States,No,No,No,Less than 26,No,Somewhat difficult,No,No,North America,2014-08
700,21-30,Male,United States,No,No,No,100-500,No,Don't know,No,No,North America,2014-08
701,31-40,Male,United States,Yes,Yes,Yes,Less than 26,Yes,Very difficult,Yes,Yes,North America,2014-08
702,31-40,Male,United States,No,Yes,Yes,100-500,Don't know,Don't know,Yes,No,North America,2014-08
703,21-30,Male,United States,No,No,Yes,26-100,Yes,Somewhat easy,Yes,No,North America,2014-08
704,41-50,Male,United States,No,Yes,Yes,26-100,No,Somewhat easy,Not sure,No,North America,2014-08
705,31-40,Male,United Kingdom,No,No,Yes,100-500,No,Don't know,No,Yes,Europe,2014-08
706,21-30,Male,United States,No,No,No,26-100,No,Don't know,Not sure,No,North America,2014-08
707,31-40,Male,United States,Yes,No,Yes,Less than 26,Don't know,Very easy,Not sure,No,North America,2014-08
708,31-40,Female,United States,No,No,No,26-100,No,Don't know,Not sure,No,North America,2014-08
709,21-30,Male,United States,No,No,Yes,26-100,No,Very easy,Yes,No,North America,2014-08
710,31-40,Male,United Kingdom,No,No,No,Less than 26,No,Somewhat easy,No,No,Europe,2014-08
711,21-30,Male,France,No,No,No,Less than 26,Don't know,Don't know,Not sure,No,Europe,2014-08
712,21-30,Male,United States,No,Yes,No,100-500,No,Very easy,No,No,North America,2014-08
713,21-30,Male,United States,No,No,No,Less than 26,No,Don't know,Yes,No,North America,2014-08
714,31-40,Male,United States,Yes,Yes,Yes,Less than 26,Don't know,Very difficult,Yes,No,North America,2014-08
715,20 down,Male,United Kingdom,No,No,Yes,26-100,No,Somewhat difficult,No,No,Europe,2014-08
716,21-30,Male,Germany,No,No,No,500-1000,Don't know,Somewhat easy,Yes,No,Europe,2014-08
717,31-40,Male,United States,Yes,No,No,Less than 26,Yes,Somewhat easy,Yes,No,North America,2014-08
718,21-30,Male,Netherlands,No,Yes,No,Less than 26,No,Very easy,No,No,Europe,2014-08
719,21-30,Male,United States,No,No,No,26-100,No,Don't know,Not sure,No,North America,2014-08
720,31-40,Male,United Kingdom,No,No,No,Less than 26,No,Don't know,No,No,Europe,2014-08
721,21-30,Male,Canada,No,Yes,Yes,More than 1000,No,Very difficult,No,Yes,North America,2014-08
722,21-30,Male,Canada,No,No,No,Less than 26,No,Somewhat difficult,Yes,No,North America,2014-08
723,21-30,Male,United States,No,Yes,Yes,Less than 26,Yes,Don't know,No,No,North America,2014-08
724,31-40,Male,United States,No,Yes,Yes,Less than 26,No,Don't know,Yes,No,North America,2014-08
725,31-40,Male,South Africa,No,No,No,100-500,No,Don't know,No,No,Africa,2014-08
726,21-30,Male,Germany,No,No,No,Less than 26,No,Very easy,No,No,Europe,2014-08
727,21-30,Male,Switzerland,No,Yes,Yes,26-100,No,Very difficult,No,No,Europe,2014-08
728,21-30,Male,United States,No,No,No,More than 1000,Don't know,Don't know,Not sure,No,North America,2014-08
729,41-50,Male,Croatia,Yes,No,Yes,Less than 26,No,Very difficult,No,Yes,Europe,2014-08
730,31-40,Male,United Kingdom,No,No,Yes,Less than 26,No,Don't know,No,No,Europe,2014-08
731,21-30,Male,France,No,No,No,26-100,Yes,Don't know,No,No,Europe,2014-08
732,21-30,Male,United States,No,No,No,Less than 26,No,Very easy,Not sure,No,North America,2014-08
733,31-40,Male,United States,No,No,No,26-100,Yes,Don't know,Yes,No,North America,2014-08
734,20 down,Male,United States,No,No,No,100-500,No,Somewhat easy,Not sure,No,North America,2014-08
735,31-40,Male,United Kingdom,Yes,No,No,100-500,No,Very easy,Not sure,No,Europe,2014-08
736,41-50,Male,United States,No,No,No,More than 1000,Don't know,Don't know,Yes,No,North America,2014-08
737,31-40,Male,United Kingdom,No,No,Yes,26-100,No,Don't know,Not sure,No,Europe,2014-08
738,21-30,Male,United Kingdom,No,No,No,Less than 26,No,Don't know,No,No,Europe,2014-08
739,31-40,Male,United States,No,Yes,Yes,More than 1000,Don't know,Don't know,No,No,North America,2014-08
740,31-40,Male,Australia,No,Yes,Yes,26-100,No,Very easy,Yes,Yes,Oceania,2014-08
741,31-40,Male,Belgium,No,No,No,Less than 26,No,Very difficult,Yes,No,Europe,2014-08
742,31-40,Male,United Kingdom,No,No,Yes,100-500,No,Very easy,No,No,Europe,2014-08
743,31-40,Male,United States,No,Yes,Yes,26-100,No,Somewhat easy,Yes,No,North America,2014-08
744,31-40,Male,United States,No,No,Yes,100-500,No,Very difficult,Yes,No,North America,2014-08
745,21-30,Male,United States,Yes,No,Yes,26-100,Don't know,Don't know,Not sure,No,North America,2014-08
746,21-30,Male,Canada,No,No,No,Less than 26,No,Very easy,Not sure,No,North America,2014-08
747,31-40,Male,Italy,No,No,No,Less than 26,No,Somewhat difficult,No,No,Europe,2014-08
748,31-40,Male,United States,No,Yes,Yes,Less than 26,Yes,Very easy,Yes,No,North America,2014-08
749,20 down,Male,Canada,No,No,Yes,26-100,No,Somewhat difficult,Not sure,No,North America,2014-08
750,31-40,Male,Norway,No,Yes,No,26-100,No,Very easy,Yes,No,Europe,2014-08
751,41-50,Male,Germany,No,No,No,More than 1000,Yes,Very easy,Not sure,No,Europe,2014-08
752,31-40,Male,United States,No,Yes,Yes,100-500,Don't know,Don't know,Not sure,No,North America,2014-08
753,31-40,Male,Thailand,Yes,No,No,Less than 26,No,Very easy,No,No,Asia,2014-08
754,31-40,Male,United States,No,No,No,More than 1000,Yes,Very easy,Yes,No,North America,2014-08
755,21-30,Female,United States,No,Yes,Yes,26-100,No,Don't know,No,No,North America,2014-08
756,31-40,Female,United States,No,Yes,Yes,26-100,No,Don't know,Not sure,No,North America,2014-08
757,21-30,Male,United States,No,Yes,Yes,More than 1000,Yes,Somewhat difficult,No,No,North America,2014-08
758,31-40,Male,Germany,No,No,No,26-100,No,Somewhat easy,No,No,Europe,2014-08
759,21-30,Male,United States,No,No,Yes,More than 1000,No,Don't know,Yes,Yes,North America,2014-08
760,31-40,Male,Canada,Yes,Yes,No,Less than 26,No,Somewhat easy,Yes,No,North America,2014-08
761,31-40,Female,United States,No,Yes,Yes,26-100,Yes,Don't know,Yes,No,North America,2014-08
762,31-40,Male,Ireland,No,Yes,Yes,Less than 26,No,Very easy,No,No,Europe,2014-08
763,31-40,Male,Ireland,No,Yes,Yes,Less than 26,No,Very difficult,No,No,Europe,2014-08
764,21-30,Female,United States,No,No,Yes,100-500,Yes,Somewhat easy,Not sure,No,North America,2014-08
765,31-40,Male,Netherlands,Yes,No,No,Less than 26,Yes,Somewhat easy,No,No,Europe,2014-08
766,31-40,Female,United States,Yes,Yes,Yes,Less than 26,Yes,Somewhat easy,Yes,No,North America,2014-08
767,21-30,Male,United Kingdom,No,No,No,26-100,No,Somewhat easy,Not sure,No,Europe,2014-08
768,31-40,Female,United States,No,No,Yes,Less than 26,No,Don't know,No,No,North America,2014-08
769,21-30,Male,United Kingdom,No,No,No,26-100,No,Somewhat easy,Not sure,No,Europe,2014-08
770,31-40,Male,United Kingdom,No,No,Yes,500-1000,No,Don't know,No,No,Europe,2014-08
771,31-40,Male,United States,Yes,Yes,Yes,Less than 26,No,Very easy,Yes,No,North America,2014-08
772,31-40,Male,United Kingdom,No,No,No,More than 1000,No,Don't know,Not sure,No,Europe,2014-08
773,21-30,Male,United Kingdom,No,No,No,More than 1000,No,Don't know,Not sure,No,Europe,2014-08
774,31-40,Male,United Kingdom,No,Yes,Yes,Less than 26,No,Somewhat easy,No,Yes,Europe,2014-08
775,31-40,Male,Canada,No,No,Yes,100-500,Yes,Very easy,Yes,Yes,North America,2014-08
776,41-50,Male,United States,No,No,No,Less than 26,No,Don't know,No,No,North America,2014-08
777,31-40,Others,United Kingdom,No,No,Yes,More than 1000,Yes,Don't know,No,Yes,Europe,2014-08
778,21-30,Female,United States,No,No,No,More than 1000,No,Don't know,Not sure,No,North America,2014-08
779,31-40,Female,United Kingdom,No,No,No,Less than 26,No,Don't know,No,No,Europe,2014-08
780,41-50,Male,United Kingdom,No,No,Yes,26-100,No,Don't know,No,No,Europe,2014-08
781,31-40,Male,United States,No,No,Yes,Less than 26,No,Somewhat difficult,Yes,No,North America,2014-08
782,31-40,Male,United Kingdom,No,Yes,Yes,More than 1000,Don't know,Very easy,Not sure,No,Europe,2014-08
783,31-40,Male,United States,Yes,No,No,Less than 26,No,Don't know,No,No,North America,2014-08
784,21-30,Male,United States,No,No,No,Less than 26,No,Don't know,No,No,North America,2014-08
785,21-30,Male,United States,No,Yes,Yes,More than 1000,Yes,Don't know,Yes,Yes,North America,2014-08
786,31-40,Male,United Kingdom,Yes,Yes,No,Less than 26,No,Somewhat easy,Yes,No,Europe,2014-08
787,21-30,Male,United States,No,Yes,Yes,26-100,Don't know,Don't know,Yes,No,North America,2014-08
788,31-40,Male,Netherlands,No,No,No,100-500,Don't know,Somewhat easy,No,No,Europe,2014-08
789,31-40,Male,Switzerland,No,No,Yes,More than 1000,Yes,Somewhat easy,Yes,No,Europe,2014-08
790,21-30,Male,United Kingdom,No,No,No,100-500,No,Somewhat easy,Not sure,Yes,Europe,2014-08
791,31-40,Male,United States,No,No,Yes,More than 1000,Don't know,Don't know,Yes,No,North America,2014-08
792,31-40,Female,United States,No,No,Yes,Less than 26,No,Somewhat difficult,Not sure,Yes,North America,2014-08
793,31-40,Female,United States,No,No,Yes,100-500,No,Very difficult,No,Yes,North America,2014-08
794,21-30,Female,United States,No,Yes,Yes,More than 1000,Don't know,Very difficult,Not sure,Yes,North America,2014-08
795,31-40,Male,United States,No,No,No,26-100,No,Somewhat easy,Yes,Yes,North America,2014-08
796,31-40,Female,United States,No,Yes,Yes,100-500,No,Don't know,No,No,North America,2014-08
797,21-30,Male,Brazil,No,No,No,26-100,No,Don't know,No,Yes,South America,2014-08
798,21-30,Male,Switzerland,No,Yes,No,26-100,No,Don't know,No,No,Europe,2014-08
799,31-40,Female,United States,No,No,Yes,100-500,Don't know,Very easy,No,No,North America,2014-08
800,21-30,Male,United States,No,No,No,100-500,Yes,Very easy,Yes,No,North America,2014-08
801,21-30,Male,United States,No,Yes,Yes,Less than 26,No,Very easy,Yes,No,North America,2014-08
802,31-40,Male,United States,No,No,No,26-100,No,Don't know,No,No,North America,2014-08
803,21-30,Female,United States,No,No,No,More than 1000,Yes,Very easy,Yes,No,North America,2014-08
804,31-40,Male,United Kingdom,No,No,No,26-100,No,Somewhat easy,Not sure,No,Europe,2014-08
805,21-30,Female,United States,No,No,Yes,26-100,No,Somewhat difficult,Yes,Yes,North America,2014-08
806,31-40,Female,United States,No,Yes,Yes,100-500,Yes,Don't know,Yes,Yes,North America,2014-08
807,31-40,Female,United States,No,Yes,No,Less than 26,No,Don't know,No,No,North America,2014-08
808,21-30,Male,United States,No,No,No,26-100,No,Very easy,Not sure,No,North America,2014-08
809,41-50,Male,United States,No,Yes,No,More than 1000,No,Don't know,Yes,No,North America,2014-08
810,21-30,Male,United Kingdom,No,No,No,Less than 26,No,Don't know,No,No,Europe,2014-08
811,21-30,Male,United Kingdom,No,No,Yes,100-500,No,Somewhat difficult,No,No,Europe,2014-08
812,31-40,Male,United States,No,No,Yes,Less than 26,No,Very difficult,No,Yes,North America,2014-08
813,21-30,Male,United States,No,No,Yes,Less than 26,No,Don't know,Yes,No,North America,2014-08
814,31-40,Female,United Kingdom,Yes,No,No,Less than 26,Don't know,Don't know,Not sure,No,Europe,2014-08
815,31-40,Female,United States,No,No,No,26-100,No,Don't know,Not sure,No,North America,2014-08
816,31-40,Male,United States,No,Yes,Yes,500-1000,Yes,Very difficult,Yes,No,North America,2014-08
817,41-50,Male,United States,Yes,Yes,Yes,Less than 26,No,Very easy,Yes,No,North America,2014-08
818,21-30,Others,Germany,Yes,No,Yes,Less than 26,Yes,Very easy,Not sure,No,Europe,2014-08
819,31-40,Male,Denmark,Yes,Yes,Yes,Less than 26,Yes,Somewhat easy,Yes,No,Europe,2014-08
820,31-40,Female,United States,No,Yes,Yes,100-500,Yes,Don't know,Not sure,No,North America,2014-08
821,31-40,Male,Denmark,Yes,Yes,Yes,Less than 26,Yes,Somewhat easy,Yes,No,Europe,2014-08
822,31-40,Male,United States,No,No,No,More than 1000,No,Very difficult,Yes,No,North America,2014-08
823,31-40,Male,United States,No,No,No,More than 1000,Don't know,Don't know,Not sure,No,North America,2014-08
824,41-50,Male,United States,No,No,No,More than 1000,Yes,Don't know,No,No,North America,2014-08
825,41-50,Female,United States,No,Yes,No,26-100,No,Very difficult,No,Yes,North America,2014-08
826,20 down,Male,United States,No,No,No,26-100,Don't know,Don't know,Not sure,No,North America,2014-08
827,31-40,Male,United States,Yes,No,No,Less than 26,No,Somewhat easy,Not sure,No,North America,2014-08
828,21-30,Female,United Kingdom,No,No,Yes,Less than 26,No,Don't know,No,No,Europe,2014-08
829,31-40,Male,United States,No,Yes,Yes,Less than 26,No,Don't know,Yes,No,North America,2014-08
830,21-30,Male,United States,No,Yes,No,More than 1000,No,Very easy,Yes,No,North America,2014-08
831,31-40,Male,United States,No,No,No,100-500,No,Don't know,Not sure,No,North America,2014-08
832,21-30,Male,Sweden,No,No,Yes,Less than 26,No,Very easy,Yes,No,Europe,2014-08
833,21-30,Female,United States,No,Yes,Yes,100-500,Don't know,Don't know,Not sure,No,North America,2014-08
834,31-40,Male,United States,No,No,Yes,Less than 26,No,Don't know,No,No,North America,2014-08
835,41-50,Male,United Kingdom,No,Yes,Yes,500-1000,No,Somewhat difficult,No,Yes,Europe,2014-08
836,21-30,Female,United States,No,Yes,Yes,Less than 26,No,Very easy,Yes,Yes,North America,2014-08
837,41-50,Female,United States,No,No,No,100-500,No,Very difficult,No,No,North America,2014-08
838,41-50,Male,United Kingdom,No,Yes,No,More than 1000,No,Very easy,No,No,Europe,2014-08
839,31-40,Male,United States,No,No,No,More than 1000,Yes,Somewhat difficult,Yes,No,North America,2014-08
840,41-50,Male,United States,No,No,Yes,More than 1000,No,Very difficult,No,No,North America,2014-08
841,31-40,Male,United Kingdom,Yes,No,No,Less than 26,No,Somewhat difficult,No,Yes,Europe,2014-08
842,31-40,Female,United States,No,Yes,Yes,100-500,No,Somewhat difficult,Yes,No,North America,2014-08
843,31-40,Male,United States,No,No,No,More than 1000,Yes,Don't know,Not sure,No,North America,2014-08
844,31-40,Male,United States,No,Yes,No,26-100,No,Somewhat difficult,No,No,North America,2014-08
845,31-40,Male,Italy,No,No,No,26-100,Don't know,Don't know,Not sure,No,Europe,2014-08
846,31-40,Male,United States,No,No,Yes,100-500,Yes,Don't know,No,No,North America,2014-08
847,31-40,Male,Netherlands,Yes,No,Yes,Less than 26,No,Very easy,No,No,Europe,2014-08
848,31-40,Male,United States,Yes,Yes,Yes,Less than 26,No,Very easy,Yes,No,North America,2014-08
849,31-40,Male,United States,No,No,No,More than 1000,Yes,Don't know,Yes,No,North America,2014-08
850,41-50,Male,United States,No,No,Yes,Less than 26,No,Somewhat easy,Yes,No,North America,2014-08
851,21-30,Male,United States,No,Yes,No,26-100,No,Don't know,Yes,No,North America,2014-08
